x1,x2,class
9.4903,4.4029,1
18.268,-2.2422,1
14.143,-1.6308,1
17.613,0.16105,1
13.227,-0.23594,1
16.482,-0.73829,1
21.341,-0.049382,1
15.5,-0.65893,1
13.909,1.6997,1
14.561,-0.30202,1
15.74,-1.5975,1
17.157,-1.9437,1
16.11,-0.39238,1
13.304,0.23079,1
14.881,1.7216,1
20.954,-1.6384,1
20.064,1.7198,1
13.168,0.091939,1
15.614,1.592,1
18.392,-1.5425,1
17.248,0.90253,1
17.197,1.0361,1
10.536,1.5216,1
19.857,-1.0648,1
13.784,0.36086,1
13.926,0.38186,1
18.225,-1.579,1
17.879,-1.0621,1
17.376,2.2898,1
21.036,0.49542,1
12.521,2.4281,1
11.914,1.7826,1
17.987,1.1156,1
17.977,-1.178,1
15.3,-1.819,1
17.427,0.44105,1
13.263,0.70467,1
17.405,-2.4436,1
15.572,-0.25481,1
20.237,-3.1646,1
14.825,2.2073,1
13.851,-0.28381,1
18.773,-0.78482,1
16.964,-1.3743,1
13.792,0.27688,1
18.88,-0.77122,1
13.627,-0.54908,1
16.675,0.45239,1
15.333,0.62168,1
12.932,2.2805,1
19.496,-3.2149,1
19.381,-4.4402,1
13.79,0.96611,1
13.937,0.96783,1
16.363,-0.58834,1
17.39,0.60485,1
12.946,1.3543,1
13.399,0.083137,1
14.97,1.9635,1
15.751,-0.92679,1
14.595,1.3966,1
16.562,0.77918,1
18.992,-0.47476,1
20.266,-0.72095,1
13.348,1.2889,1
14.142,-0.71855,1
19.714,-3.2364,1
16.938,0.57122,1
14.449,2.0586,1
15.324,2.0307,1
21.438,-3.061,1
12.205,-0.26717,1
11.363,1.4696,1
17.367,0.56646,1
16.2,-0.97683,1
20.797,-1.9936,1
15.949,0.35068,1
17.067,-0.61309,1
15.344,0.51183,1
17.333,0.88618,1
13.501,-1.4567,1
15.325,1.1703,1
7.582,0.67461,1
16.95,-1.1935,1
15.131,0.99182,1
15.514,-1.8256,1
13.986,1.6655,1
18.54,-0.91981,1
12.314,2.3921,1
18.498,-0.27106,1
16.748,-2.7644,1
