x1,x2,class
1.798563,-4.542623,3
-2.8208,3.140091,3
-3.366595,4.335095,3
1.158054,-1.174433,2
-0.152928,-1.625707,2
2.666284,4.293456,3
-3.291375,-4.36417,3
-4.466019,-3.30514,3
-2.158504,-3.315526,3
-2.099765,3.411461,3
-1.853365,-0.053377,2
-2.074186,-3.741673,3
-0.042861,-0.512625,1
-0.224001,-4.764574,3
-2.13829,3.001377,3
1.124422,4.926524,3
-3.563684,3.375229,3
2.059718,-4.018763,3
1.032722,-3.927379,3
1.179017,5.042794,3
-2.219798,2.99205,3
3.814151,2.124075,3
-1.891946,-4.45274,3
1.89237,-4.573313,3
2.089985,4.218384,3
0.445975,-0.187792,1
-3.543537,-1.981764,3
-3.772723,-1.604135,3
0.011524,-0.08984,1
0.27812,-1.600436,2
-1.786257,-0.358822,2
0.517546,-1.306114,2
1.054446,-1.230551,2
0.781536,-1.198637,2
-3.805281,2.411621,3
0.970917,-1.249915,2
-5.525762,0.203072,3
-2.704671,-2.018458,3
-3.501877,1.277892,3
-0.20834,0.107337,1
-2.874024,-2.359627,3
4.31731,-1.125511,3
1.410045,-4.140252,3
0.439049,-1.550052,2
-0.1843,0.517147,1
-0.45129,0.263181,1
-0.29538,-0.282471,1
-1.568577,-1.114048,2
1.851933,-3.106927,3
-2.920718,-2.476776,3
3.142312,-2.772668,3
-3.42177,-4.440338,3
-0.524097,3.659981,3
-2.375232,2.648455,3
-3.72226,0.906526,3
-0.798182,-1.697622,2
0.124,-1.439764,2
-0.822946,-1.68144,2
0.121569,-1.762716,2
3.654556,-1.351172,3
-1.493861,4.731661,3
-0.719442,-1.487191,2
-0.309664,-1.576697,2
-1.407295,-0.713882,2
1.05678,-0.975211,2
4.462848,2.647008,3
-0.873368,5.450543,3
4.645867,2.939477,3
-0.351103,-1.630756,2
3.045358,-4.411187,3
-1.47861,-0.569275,2
-0.064599,0.236064,1
2.502521,-2.765907,3
1.761767,-4.811668,3
-0.725598,5.486469,3
-3.225361,1.144708,3
5.368594,-0.789381,3
-0.152849,0.011683,1
0.159345,0.495484,1
-4.102453,-1.296362,3
-1.683532,-0.124567,2
-1.393964,-3.87288,3
-4.727356,-2.847637,3
-4.519687,3.06834,3
-1.13199,-1.310815,2
2.058518,-3.53569,3
3.448013,-4.020418,3
0.066373,-3.560367,3
3.341635,-0.861689,3
-0.95114,-3.564689,3
0.414509,-5.227385,3
-0.290386,-0.08847,1
1.340072,-0.8736,2
4.298648,-0.519804,3
-0.474315,-0.346517,1
-2.0577,3.75302,3
-0.991902,-1.492172,2
-0.133162,-0.016389,1
1.179899,-0.335536,2
-4.063985,-1.515082,3
-3.532118,0.227042,3
4.433091,2.833937,3
1.665073,3.960908,3
-3.827125,-3.868041,3
-1.883162,-0.244864,2
0.303959,-0.265656,1
-0.229356,-5.190109,3
0.345847,4.101422,3
3.771245,1.920175,3
-3.191922,-4.575779,3
-3.624263,-1.325026,3
0.750492,-1.068582,2
4.75753,0.501347,3
4.15976,2.762346,3
-2.982934,2.214819,3
